State,County,Metro/Small Town/Rural Status,Percent with SNAP,Percent Margin of Error (±),Population Percentage - Black,Population Percentage - Hispanic/Latino
Texas,King County,Rural area,7.80%,10.10%,,
California,Calaveras County,Rural area,7.80%,1.80%,,
Indiana,Floyd County,Metro area,7.80%,1.00%,,
Nebraska,Logan County,Small town,7.80%,5.40%,,
Minnesota,Todd County,Rural area,7.80%,1.10%,,
Maryland,Harford County,Metro area,7.80%,0.60%,,
Nebraska,Pawnee County,Rural area,7.80%,2.30%,,
Oklahoma,Roger Mills County,Rural area,7.80%,3.30%,,
California,Lassen County,Small town,7.80%,1.70%,,
Virginia,Salem city,Metro area,7.80%,1.80%,,
Nebraska,Custer County,Rural area,7.80%,2.00%,,
Alabama,Baldwin County,Metro area,7.70%,0.80%,,
Montana,Broadwater County,Rural area,7.70%,2.90%,,
South Dakota,Lawrence County,Small town,7.70%,1.70%,,
Indiana,White County,Rural area,7.70%,1.60%,,
Indiana,Fulton County,Rural area,7.70%,1.80%,,
South Dakota,Miner County,Rural area,7.70%,3.00%,,
Iowa,Carroll County,Small town,7.70%,1.70%,,
Texas,Childress County,Rural area,7.70%,3.40%,,
Nebraska,Howard County,Metro area,7.70%,2.60%,,
Kentucky,Bullitt County,Metro area,7.70%,1.20%,,
Ohio,Shelby County,Small town,7.70%,1.30%,,
Nebraska,Washington County,Metro area,7.70%,1.90%,,
Minnesota,Clay County,Metro area,7.70%,1.10%,,
Minnesota,Pope County,Rural area,7.60%,1.50%,,
Montana,Yellowstone County,Metro area,7.60%,0.70%,,
Rhode Island,Washington County,Metro area,7.60%,1.00%,,
North Carolina,Henderson County,Metro area,7.60%,0.90%,,
Colorado,Weld County,Metro area,7.60%,0.50%,,
Montana,Dawson County,Rural area,7.60%,3.50%,,
Washington,Island County,Small town,7.60%,1.00%,,
Missouri,Cass County,Metro area,7.60%,0.90%,,
Indiana,Harrison County,Metro area,7.60%,1.70%,,
California,Plumas County,Rural area,7.60%,2.20%,,
North Dakota,Walsh County,Rural area,7.60%,2.10%,,
Minnesota,Morrison County,Rural area,7.60%,1.10%,,
Texas,Washington County,Small town,7.60%,2.30%,,
Missouri,Clark County,Small town,7.60%,1.90%,,
Connecticut,Litchfield County,Small town,7.60%,0.70%,,
Illinois,Putnam County,Small town,7.60%,1.70%,,
Wyoming,Goshen County,Rural area,7.60%,1.90%,,
Florida,Collier County,Metro area,7.60%,0.60%,,
Texas,Hansford County,Rural area,7.60%,4.80%,,
Indiana,Ripley County,Rural area,7.60%,1.30%,,
Oklahoma,Major County,Rural area,7.60%,2.00%,,
Ohio,Lake County,Metro area,7.60%,0.60%,,
Mississippi,Madison County,Metro area,7.50%,1.00%,,
Utah,Washington County,Metro area,7.50%,0.90%,,
Virginia,Prince George County,Metro area,7.50%,1.60%,,
Georgia,Monroe County,Metro area,7.50%,1.70%,,
Indiana,Posey County,Metro area,7.50%,1.40%,,
Indiana,Wells County,Metro area,7.50%,1.50%,,
Iowa,Davis County,Small town,7.50%,1.90%,,
Texas,Winkler County,Rural area,7.50%,2.90%,,
New Hampshire,Hillsborough County,Metro area,7.50%,0.50%,,
New Hampshire,Carroll County,Rural area,7.50%,1.30%,,
South Dakota,McPherson County,Rural area,7.50%,4.10%,,
Virginia,Amelia County,Metro area,7.50%,2.90%,,
Montana,Teton County,Rural area,7.50%,1.70%,,
Georgia,Harris County,Metro area,7.50%,1.70%,,
Indiana,Marshall County,Small town,7.50%,1.00%,,
Illinois,Woodford County,Metro area,7.50%,1.30%,,
Missouri,Putnam County,Rural area,7.50%,2.80%,,
Iowa,Butler County,Rural area,7.50%,1.20%,,
Georgia,Gwinnett County,Metro area,7.40%,0.40%,,
Alaska,Sitka City and Borough,Rural area,7.40%,1.60%,,
North Dakota,Mercer County,Rural area,7.40%,3.00%,,
Texas,Wilson County,Metro area,7.40%,1.60%,,
Indiana,Tipton County,Rural area,7.40%,2.20%,,
Nebraska,Banner County,Small town,7.40%,5.20%,,
Kansas,Doniphan County,Metro area,7.40%,1.60%,,
New Hampshire,Cheshire County,Small town,7.40%,1.00%,,
Wisconsin,Door County,Rural area,7.40%,1.70%,,
Missouri,Scotland County,Rural area,7.40%,3.10%,,
Pennsylvania,Adams County,Metro area,7.40%,0.70%,,
Nebraska,Buffalo County,Small town,7.40%,1.00%,,
Texas,Menard County,Rural area,7.40%,4.40%,,
Kansas,Jackson County,Metro area,7.40%,2.10%,,
Indiana,Warren County,Rural area,7.40%,2.40%,,
Virginia,Chesapeake city,Metro area,7.40%,0.70%,,
Indiana,Tippecanoe County,Metro area,7.40%,0.70%,,
Michigan,Washtenaw County,Metro area,7.40%,0.40%,,
Indiana,Clark County,Metro area,7.40%,0.90%,,
Kansas,Miami County,Metro area,7.40%,2.00%,,
Texas,Shackelford County,Rural area,7.40%,4.10%,,
Wyoming,Converse County,Rural area,7.40%,2.90%,,
Indiana,Franklin County,Rural area,7.40%,1.90%,,
South Dakota,Moody County,Rural area,7.30%,1.90%,,
Minnesota,Lake of the Woods County,Rural area,7.30%,3.50%,,
Texas,Donley County,Rural area,7.30%,2.40%,,
Nebraska,Box Butte County,Rural area,7.30%,2.20%,,
Minnesota,Crow Wing County,Small town,7.30%,0.80%,,
Texas,Crane County,Rural area,7.30%,4.00%,,
Arkansas,Saline County,Metro area,7.30%,0.90%,,
Texas,Fayette County,Rural area,7.30%,1.60%,,
Illinois,Moultrie County,Rural area,7.30%,2.00%,,
Michigan,Barry County,Metro area,7.30%,0.80%,,
Kansas,Phillips County,Rural area,7.30%,2.60%,,
Idaho,Lemhi County,Rural area,7.30%,2.30%,,
Ohio,Wood County,Metro area,7.30%,0.80%,,
Kansas,Graham County,Rural area,7.30%,3.10%,,
Texas,Llano County,Rural area,7.30%,1.70%,,
Maryland,Charles County,Metro area,7.30%,0.80%,,
Arkansas,Washington County,Metro area,7.30%,0.60%,,
California,Amador County,Rural area,7.20%,2.00%,,
New Jersey,Gloucester County,Metro area,7.20%,0.70%,,
Minnesota,Grant County,Rural area,7.20%,1.50%,,
Florida,Martin County,Metro area,7.20%,0.70%,,
California,Monterey County,Metro area,7.20%,0.40%,,
Minnesota,Renville County,Rural area,7.20%,1.10%,,
Kansas,Butler County,Metro area,7.20%,1.10%,,
Oklahoma,Kingfisher County,Rural area,7.20%,2.30%,,
Nebraska,Butler County,Rural area,7.20%,2.20%,,
Virginia,Giles County,Metro area,7.20%,1.60%,,
Texas,Parker County,Metro area,7.20%,0.80%,,
Minnesota,Norman County,Rural area,7.20%,1.20%,,
Texas,Travis County,Metro area,7.20%,0.30%,,
Virginia,Henrico County,Metro area,7.20%,0.60%,,
Minnesota,Otter Tail County,Small town,7.20%,0.90%,,
North Carolina,Iredell County,Metro area,7.10%,0.60%,,
Minnesota,Olmsted County,Metro area,7.10%,0.60%,,
Utah,Cache County,Metro area,7.10%,0.90%,,
Maryland,Queen Anne's County,Metro area,7.10%,1.10%,,
California,Ventura County,Metro area,7.10%,0.40%,,
Michigan,Oakland County,Metro area,7.10%,0.20%,,
Kentucky,Spencer County,Metro area,7.10%,2.30%,,
Minnesota,Steele County,Small town,7.10%,1.10%,,
Michigan,Benzie County,Small town,7.10%,1.30%,,
Virginia,Northumberland County,Rural area,7.10%,2.70%,,
Indiana,Kosciusko County,Small town,7.10%,0.90%,,
Iowa,Hancock County,Rural area,7.10%,1.50%,,
Iowa,Johnson County,Metro area,7.10%,0.70%,,
California,San Diego County,Metro area,7.10%,0.20%,,
Minnesota,Faribault County,Rural area,7.10%,1.20%,,
Kansas,Barton County,Small town,7.10%,1.70%,,
Alaska,Kodiak Island Borough,Rural area,7.10%,2.70%,,
Montana,Judith Basin County,Rural area,7.10%,3.20%,,
Indiana,Adams County,Small town,7.10%,1.40%,,
Oklahoma,Beaver County,Rural area,7.10%,1.90%,,
Minnesota,Waseca County,Rural area,7.00%,1.70%,,
North Carolina,Union County,Metro area,7.00%,0.60%,,
New Hampshire,Grafton County,Small town,7.00%,0.90%,,
Missouri,Moniteau County,Metro area,7.00%,1.80%,,
North Carolina,Dare County,Small town,7.00%,1.70%,,
Illinois,McHenry County,Metro area,7.00%,0.60%,,
Kansas,Barber County,Rural area,7.00%,2.60%,,
Nebraska,Cherry County,Rural area,7.00%,2.60%,,
Massachusetts,Middlesex County,Metro area,7.00%,0.20%,,
Minnesota,Lake County,Rural area,7.00%,1.70%,,
Ohio,Auglaize County,Small town,7.00%,1.10%,,
Minnesota,Stevens County,Rural area,7.00%,2.30%,,
Indiana,Ohio County,Metro area,7.00%,2.50%,,
Texas,Upton County,Rural area,7.00%,3.10%,,
Idaho,Valley County,Rural area,7.00%,3.40%,,
Texas,Blanco County,Rural area,7.00%,2.60%,,
Virginia,King William County,Metro area,7.00%,2.60%,,
Kansas,Jewell County,Rural area,7.00%,2.00%,,
New York,Greene County,Rural area,7.00%,1.20%,,
Texas,Brazoria County,Metro area,6.90%,0.60%,,
Texas,Sutton County,Rural area,6.90%,3.60%,,
North Carolina,Watauga County,Small town,6.90%,1.20%,,
Idaho,Latah County,Small town,6.90%,1.50%,,
Nevada,Esmeralda County,Rural area,6.90%,4.50%,,
Colorado,San Juan County,Rural area,6.90%,4.30%,,
Wisconsin,Kewaunee County,Metro area,6.90%,1.40%,,
Nebraska,Keith County,Rural area,6.90%,2.30%,,
Pennsylvania,Cumberland County,Metro area,6.90%,0.60%,,
Florida,Monroe County,Small town,6.90%,0.90%,7.60%,24.60%
Oklahoma,Alfalfa County,Rural area,6.90%,1.90%,,
Texas,Fort Bend County,Metro area,6.90%,0.50%,,
Montana,Custer County,Rural area,6.90%,1.80%,,
Kansas,Stevens County,Rural area,6.90%,3.80%,,
New Jersey,Warren County,Metro area,6.90%,0.90%,,
North Dakota,Bowman County,Rural area,6.90%,3.20%,,
Utah,Beaver County,Rural area,6.90%,2.90%,,
Idaho,Ada County,Metro area,6.90%,0.40%,,
Missouri,Clay County,Metro area,6.90%,0.70%,,
Kansas,Leavenworth County,Metro area,6.80%,1.10%,,
North Dakota,Ransom County,Rural area,6.80%,1.60%,,
Colorado,Gunnison County,Rural area,6.80%,2.20%,,
Minnesota,Anoka County,Metro area,6.80%,0.50%,,
Iowa,Madison County,Metro area,6.80%,2.20%,,
Pennsylvania,Centre County,Metro area,6.80%,0.60%,,
Wyoming,Laramie County,Metro area,6.80%,0.80%,,
North Dakota,Cass County,Metro area,6.80%,0.80%,,
South Dakota,McCook County,Metro area,6.80%,2.30%,,
Wisconsin,Dane County,Metro area,6.80%,0.40%,,
Georgia,Cobb County,Metro area,6.80%,0.30%,,
Wisconsin,Outagamie County,Metro area,6.80%,0.60%,,
New York,Saratoga County,Metro area,6.80%,0.50%,,
Nebraska,Phelps County,Rural area,6.80%,2.50%,,
Massachusetts,Barnstable County,Metro area,6.80%,0.50%,,
South Dakota,Spink County,Rural area,6.70%,1.80%,,
Colorado,Grand County,Rural area,6.70%,2.70%,,
Texas,Martin County,Metro area,6.70%,3.10%,,
Nebraska,Sherman County,Rural area,6.70%,2.20%,,
Minnesota,Isanti County,Metro area,6.70%,1.20%,,
Michigan,Allegan County,Small town,6.70%,0.80%,,
Alaska,Fairbanks North Star Borough,Metro area,6.70%,1.10%,,
Maryland,Carroll County,Metro area,6.70%,0.80%,,
Texas,Gaines County,Rural area,6.70%,2.40%,,
Arkansas,Carroll County,Rural area,6.70%,1.50%,,
Alaska,Bristol Bay Borough,Rural area,6.70%,2.40%,,
Wisconsin,Oneida County,Rural area,6.70%,0.90%,,
Montana,Carbon County,Metro area,6.70%,1.60%,,
Virginia,Gloucester County,Metro area,6.70%,1.40%,,
Virginia,Spotsylvania County,Metro area,6.70%,0.70%,,
Virginia,Augusta County,Metro area,6.70%,1.10%,,
Iowa,Dickinson County,Small town,6.70%,1.60%,,
North Dakota,Traill County,Rural area,6.70%,1.40%,,
Texas,Hays County,Metro area,6.60%,0.80%,,
Massachusetts,Norfolk County,Metro area,6.60%,0.30%,,
Kansas,Rice County,Rural area,6.60%,2.10%,,
Minnesota,Rice County,Small town,6.60%,1.00%,,
Texas,Montgomery County,Metro area,6.60%,0.50%,,
New Jersey,Ocean County,Metro area,6.60%,0.40%,,
Texas,Burnet County,Rural area,6.60%,1.50%,,
Texas,Colorado County,Rural area,6.60%,1.50%,,
Texas,Scurry County,Small town,6.60%,2.10%,,
New Jersey,Cape May County,Metro area,6.60%,0.80%,,
Nebraska,Kearney County,Small town,6.60%,3.10%,,
Missouri,Gasconade County,Rural area,6.60%,1.20%,,
Wyoming,Uinta County,Small town,6.60%,2.00%,,
Missouri,Andrew County,Metro area,6.60%,2.00%,,
Missouri,Holt County,Rural area,6.60%,1.90%,,
Alaska,Aleutians West Census Area,Rural area,6.60%,1.30%,,
Kansas,Marshall County,Rural area,6.60%,1.60%,,
Iowa,Winnebago County,Rural area,6.60%,2.10%,,
South Dakota,Walworth County,Rural area,6.60%,3.10%,,
Michigan,Clinton County,Metro area,6.50%,0.80%,,
Texas,Mills County,Rural area,6.50%,3.60%,,
Indiana,Porter County,Metro area,6.50%,0.60%,,
Nebraska,Clay County,Rural area,6.50%,1.60%,,
Texas,Guadalupe County,Metro area,6.50%,0.90%,,
Ohio,Mercer County,Small town,6.50%,1.30%,,
Texas,Hood County,Metro area,6.50%,1.30%,,
Texas,Randall County,Metro area,6.50%,0.70%,,
Colorado,Clear Creek County,Metro area,6.50%,2.00%,,
North Carolina,Orange County,Metro area,6.50%,0.70%,,
Texas,Moore County,Small town,6.40%,1.80%,,
North Dakota,Barnes County,Rural area,6.40%,1.80%,,
Texas,Andrews County,Small town,6.40%,2.80%,,
Indiana,Whitley County,Metro area,6.40%,1.50%,,
Virginia,Bedford County,Metro area,6.40%,1.00%,,
Minnesota,Chisago County,Metro area,6.40%,1.00%,,
Mississippi,Rankin County,Metro area,6.40%,0.90%,,
Nebraska,Furnas County,Rural area,6.40%,1.80%,,
Maryland,Frederick County,Metro area,6.40%,0.50%,,
New York,Suffolk County,Metro area,6.40%,0.30%,,
Oklahoma,Canadian County,Metro area,6.40%,0.70%,,
Nebraska,Nuckolls County,Rural area,6.40%,2.20%,,
New Jersey,Middlesex County,Metro area,6.40%,0.30%,,
Minnesota,Le Sueur County,Metro area,6.40%,1.30%,,
Virginia,Orange County,Rural area,6.40%,1.50%,,
Nebraska,Wheeler County,Rural area,6.40%,4.00%,,
Iowa,Howard County,Rural area,6.40%,2.00%,,
Colorado,Arapahoe County,Metro area,6.30%,0.40%,,
Minnesota,McLeod County,Small town,6.30%,1.30%,,
North Dakota,Nelson County,Rural area,6.30%,2.40%,,
Illinois,Jo Daviess County,Rural area,6.30%,1.10%,,
Kansas,Seward County,Small town,6.30%,2.40%,,
Iowa,Plymouth County,Metro area,6.30%,1.40%,,
North Dakota,Renville County,Small town,6.30%,2.60%,,
Minnesota,Winona County,Small town,6.30%,0.90%,,
Ohio,Putnam County,Rural area,6.30%,1.20%,,
Wyoming,Big Horn County,Rural area,6.30%,2.10%,,
California,Alameda County,Metro area,6.30%,0.20%,,
Texas,Midland County,Metro area,6.30%,0.90%,,
Virginia,Manassas Park city,Metro area,6.30%,2.50%,,
Utah,Juab County,Metro area,6.30%,1.80%,,
Indiana,LaGrange County,Rural area,6.30%,1.60%,,
Colorado,Kit Carson County,Rural area,6.30%,2.40%,,
South Dakota,Union County,Metro area,6.30%,1.60%,,
Missouri,Ralls County,Small town,6.20%,1.70%,,
Connecticut,Tolland County,Metro area,6.20%,0.70%,,
Texas,Schleicher County,Rural area,6.20%,4.00%,,
Kansas,Norton County,Rural area,6.20%,3.70%,,
California,Sonoma County,Metro area,6.20%,0.40%,,
California,Contra Costa County,Metro area,6.20%,0.30%,,
Kansas,Riley County,Metro area,6.20%,1.10%,,
Illinois,Piatt County,Metro area,6.20%,1.70%,,
Maryland,Montgomery County,Metro area,6.20%,0.30%,,
Texas,Walker County,Small town,6.20%,1.30%,,
North Dakota,Emmons County,Rural area,6.20%,1.90%,,
Colorado,Garfield County,Small town,6.20%,1.20%,,
South Dakota,Deuel County,Rural area,6.20%,2.30%,,
Minnesota,Goodhue County,Small town,6.20%,1.00%,,
Utah,Salt Lake County,Metro area,6.20%,0.20%,,
Minnesota,Cook County,Rural area,6.20%,1.80%,,
North Carolina,Wake County,Metro area,6.20%,0.30%,,
South Dakota,Brookings County,Small town,6.10%,1.40%,,
Colorado,Ouray County,Rural area,6.10%,2.10%,,
Colorado,Larimer County,Metro area,6.10%,0.50%,,
Mississippi,Lafayette County,Small town,6.10%,1.60%,,
Nevada,Douglas County,Small town,6.10%,1.00%,,
Minnesota,Lac qui Parle County,Rural area,6.10%,1.30%,,
Iowa,Story County,Metro area,6.10%,0.90%,,
North Dakota,Stark County,Small town,6.10%,1.50%,,
Minnesota,Rock County,Rural area,6.10%,1.60%,,
Virginia,Chesterfield County,Metro area,6.10%,0.40%,,
Maryland,Anne Arundel County,Metro area,6.10%,0.30%,,
Nebraska,Cedar County,Rural area,6.10%,1.40%,,
Minnesota,Fillmore County,Metro area,6.10%,0.80%,,
Kansas,Harvey County,Metro area,6.10%,1.90%,,
Virginia,Montgomery County,Metro area,6.10%,1.10%,,
Wyoming,Natrona County,Metro area,6.10%,0.90%,,
Minnesota,Brown County,Small town,6.10%,1.30%,,
Colorado,Custer County,Rural area,6.10%,2.20%,,
California,Orange County,Metro area,6.00%,0.20%,,
Nevada,Elko County,Small town,6.00%,1.10%,,
Oklahoma,Dewey County,Rural area,6.00%,1.80%,,
Colorado,Archuleta County,Rural area,6.00%,2.10%,,
Michigan,Ottawa County,Metro area,6.00%,0.60%,,
Montana,Jefferson County,Small town,6.00%,1.80%,,
Texas,Hartley County,Rural area,6.00%,3.50%,,
South Carolina,Beaufort County,Metro area,6.00%,0.60%,,
Kansas,Chase County,Rural area,6.00%,2.10%,,
Pennsylvania,Montgomery County,Metro area,6.00%,0.30%,,
Kansas,Ellis County,Small town,6.00%,1.50%,,
Nebraska,Platte County,Small town,6.00%,1.40%,,
California,Nevada County,Small town,6.00%,0.90%,,
Nebraska,Red Willow County,Rural area,6.00%,1.90%,,
Florida,Sarasota County,Metro area,5.90%,0.40%,,
Kansas,Douglas County,Metro area,5.90%,0.90%,,
Texas,Yoakum County,Rural area,5.90%,3.10%,,
Nebraska,Frontier County,Rural area,5.90%,2.30%,,
Nebraska,Polk County,Rural area,5.90%,1.80%,,
South Dakota,Jones County,Rural area,5.90%,4.40%,,
Maryland,Calvert County,Metro area,5.90%,1.00%,,
Nebraska,Garden County,Rural area,5.90%,3.10%,,
Virginia,Virginia Beach city,Metro area,5.90%,0.40%,,
Wyoming,Carbon County,Rural area,5.90%,1.80%,,
Utah,Utah County,Metro area,5.90%,0.40%,,
Minnesota,Houston County,Metro area,5.90%,1.40%,,
North Dakota,Dickey County,Rural area,5.90%,2.50%,,
Kansas,Jefferson County,Metro area,5.80%,1.20%,,
Wisconsin,Pierce County,Metro area,5.80%,1.30%,,
North Dakota,Ward County,Small town,5.80%,1.00%,,
Iowa,Delaware County,Rural area,5.80%,1.80%,,
Nebraska,York County,Rural area,5.80%,1.70%,,
Pennsylvania,Bucks County,Metro area,5.80%,0.40%,,
Colorado,Chaffee County,Rural area,5.80%,2.00%,,
Kansas,Stafford County,Rural area,5.80%,1.60%,,
Missouri,Clinton County,Metro area,5.80%,1.50%,,
Nebraska,Nemaha County,Rural area,5.80%,2.40%,,
Oklahoma,Texas County,Small town,5.80%,1.90%,,
New Jersey,Monmouth County,Metro area,5.80%,0.30%,,
Indiana,Union County,Metro area,5.80%,1.90%,,
North Dakota,Kidder County,Rural area,5.80%,2.20%,,
Kansas,Grant County,Rural area,5.80%,4.00%,,
Alaska,Haines Borough,Rural area,5.80%,3.10%,,
Idaho,Blaine County,Small town,5.80%,2.20%,,
Nebraska,Cuming County,Rural area,5.70%,1.80%,,
Kansas,Clark County,Rural area,5.70%,2.80%,,
Illinois,DuPage County,Metro area,5.70%,0.30%,,
Ohio,Medina County,Metro area,5.70%,0.50%,,
South Dakota,Marshall County,Rural area,5.70%,2.00%,,
Indiana,Warrick County,Metro area,5.70%,1.00%,,
California,El Dorado County,Metro area,5.70%,0.60%,,
Indiana,Johnson County,Metro area,5.70%,0.70%,,
Montana,Sweet Grass County,Rural area,5.70%,2.80%,,
Texas,Sterling County,Rural area,5.70%,5.00%,,
South Dakota,Custer County,Metro area,5.70%,2.00%,,
Florida,St. Johns County,Metro area,5.70%,0.60%,,
Nebraska,Cass County,Metro area,5.70%,1.30%,,
Idaho,Boise County,Metro area,5.60%,1.90%,,
Kansas,Smith County,Rural area,5.60%,2.00%,,
Kansas,Ottawa County,Small town,5.60%,1.90%,,
Nevada,Lander County,Rural area,5.60%,3.10%,,
Kentucky,Boone County,Metro area,5.60%,1.00%,,
Indiana,Steuben County,Small town,5.60%,1.30%,,
Minnesota,Murray County,Rural area,5.50%,1.20%,,
Minnesota,Kittson County,Rural area,5.50%,1.90%,,
Virginia,Roanoke County,Metro area,5.50%,0.90%,,
Massachusetts,Dukes County,Small town,5.50%,2.30%,,
Kansas,Rawlins County,Rural area,5.50%,4.10%,,
North Dakota,Griggs County,Rural area,5.50%,2.40%,,
Missouri,Mercer County,Rural area,5.50%,1.90%,,
Kansas,McPherson County,Small town,5.50%,1.50%,,
Indiana,Brown County,Metro area,5.50%,2.20%,,
Iowa,Grundy County,Metro area,5.50%,1.30%,,
Minnesota,Sibley County,Metro area,5.50%,1.00%,,
Kansas,Rooks County,Rural area,5.50%,2.10%,,
Nebraska,Pierce County,Small town,5.50%,1.70%,,
Wyoming,Sweetwater County,Small town,5.50%,1.40%,,
Nebraska,Sarpy County,Metro area,5.50%,0.50%,,
Colorado,Mineral County,Rural area,5.40%,4.00%,,
Nevada,Eureka County,Small town,5.40%,5.40%,,
Utah,Davis County,Metro area,5.40%,0.50%,,
South Dakota,Hutchinson County,Rural area,5.40%,1.60%,,
Minnesota,Big Stone County,Rural area,5.40%,1.30%,,
Virginia,Rockingham County,Metro area,5.40%,0.70%,,
Nebraska,Hitchcock County,Rural area,5.40%,1.80%,,
Alabama,Shelby County,Metro area,5.40%,0.50%,,
Montana,Sheridan County,Rural area,5.40%,2.30%,,
Minnesota,Wabasha County,Metro area,5.40%,1.20%,,
North Dakota,Sargent County,Rural area,5.40%,1.90%,,
Nebraska,Valley County,Rural area,5.40%,2.00%,,
Minnesota,Chippewa County,Rural area,5.40%,1.80%,,
Virginia,Williamsburg city,Metro area,5.30%,2.00%,,
Wisconsin,Calumet County,Metro area,5.30%,1.10%,,
Iowa,Dallas County,Metro area,5.30%,0.90%,,
Minnesota,Dakota County,Metro area,5.30%,0.40%,,
South Dakota,Jerauld County,Rural area,5.30%,3.00%,,
Indiana,Dubois County,Small town,5.30%,1.70%,,
Texas,Borden County,Rural area,5.30%,4.30%,,
Kansas,Geary County,Small town,5.30%,1.30%,,
Wisconsin,Washington County,Metro area,5.30%,0.70%,,
Idaho,Franklin County,Metro area,5.20%,2.50%,,
Kansas,Pawnee County,Rural area,5.20%,3.20%,,
South Dakota,Kingsbury County,Rural area,5.20%,1.60%,,
South Dakota,Brown County,Small town,5.20%,1.30%,,
Minnesota,Redwood County,Rural area,5.20%,0.90%,,
Texas,McMullen County,Rural area,5.20%,8.40%,,
Idaho,Adams County,Rural area,5.20%,2.50%,,
Kansas,Morris County,Rural area,5.20%,1.70%,,
Minnesota,Roseau County,Rural area,5.20%,1.00%,,
Nebraska,Saunders County,Metro area,5.10%,1.30%,,
Texas,Irion County,Metro area,5.10%,3.80%,,
Kansas,Decatur County,Rural area,5.10%,2.50%,,
Hawaii,Kalawao County,Metro area,5.10%,5.00%,,
Nebraska,Hamilton County,Metro area,5.10%,2.10%,,
Virginia,Rappahannock County,Metro area,5.10%,2.40%,,
Kansas,Sherman County,Rural area,5.10%,2.80%,,
Idaho,Jefferson County,Metro area,5.10%,1.50%,,
Minnesota,Douglas County,Small town,5.10%,0.90%,,
Nebraska,Garfield County,Rural area,5.10%,2.80%,,
Montana,Phillips County,Rural area,5.10%,2.70%,,
North Dakota,Morton County,Metro area,5.10%,1.50%,,
Kansas,Lincoln County,Rural area,5.00%,2.10%,,
New Jersey,Burlington County,Metro area,5.00%,0.40%,,
South Dakota,Hyde County,Rural area,5.00%,2.50%,,
Florida,Sumter County,Metro area,5.00%,0.60%,,
Nebraska,Fillmore County,Rural area,5.00%,1.50%,,
North Dakota,Pembina County,Rural area,5.00%,1.40%,,
Kansas,Pottawatomie County,Metro area,5.00%,1.50%,,
Iowa,Mitchell County,Rural area,5.00%,1.80%,,
Maryland,Howard County,Metro area,5.00%,0.50%,,
Washington,San Juan County,Rural area,5.00%,0.70%,,
Indiana,Boone County,Metro area,5.00%,1.20%,,
Ohio,Union County,Metro area,5.00%,1.10%,,
South Dakota,Lake County,Rural area,5.00%,2.30%,,
Colorado,Boulder County,Metro area,5.00%,0.40%,,
Iowa,Chickasaw County,Rural area,4.90%,1.40%,,
Arkansas,Benton County,Metro area,4.90%,0.40%,,
California,San Francisco County,Metro area,4.90%,0.30%,,
Kansas,Thomas County,Rural area,4.90%,3.20%,,
North Dakota,Towner County,Rural area,4.90%,2.90%,,
Wisconsin,St. Croix County,Metro area,4.80%,0.60%,,
Nebraska,Dixon County,Metro area,4.80%,1.60%,,
Kansas,Kingman County,Metro area,4.80%,2.00%,,
Minnesota,Marshall County,Rural area,4.80%,0.90%,,
Virginia,Stafford County,Metro area,4.80%,0.80%,,
North Dakota,Burleigh County,Metro area,4.80%,0.80%,,
North Dakota,McIntosh County,Rural area,4.80%,1.60%,,
New Jersey,Bergen County,Metro area,4.80%,0.30%,,
Nebraska,Stanton County,Small town,4.80%,2.00%,,
Texas,Williamson County,Metro area,4.80%,0.40%,,
Kansas,Mitchell County,Rural area,4.80%,2.40%,,
Iowa,Bremer County,Metro area,4.80%,1.00%,,
Minnesota,Dodge County,Metro area,4.80%,1.00%,,
Nebraska,Sioux County,Small town,4.80%,4.00%,,
Texas,Denton County,Metro area,4.80%,0.30%,,
California,Mono County,Rural area,4.80%,2.30%,,
Iowa,Winneshiek County,Rural area,4.80%,1.30%,,
Nebraska,Boyd County,Rural area,4.80%,2.00%,,
North Dakota,Grant County,Rural area,4.70%,1.50%,,
Kansas,Ellsworth County,Rural area,4.70%,1.60%,,
Iowa,Cedar County,Rural area,4.70%,1.00%,,
Missouri,Osage County,Metro area,4.70%,1.30%,,
Iowa,Sioux County,Rural area,4.70%,1.20%,,
Utah,Kane County,Rural area,4.70%,2.80%,,
Michigan,Livingston County,Metro area,4.70%,0.50%,,
Virginia,Clarke County,Metro area,4.70%,2.00%,,
Wyoming,Park County,Rural area,4.70%,1.60%,,
Illinois,Monroe County,Metro area,4.70%,1.20%,,
Iowa,Iowa County,Rural area,4.70%,1.60%,,
North Dakota,Hettinger County,Rural area,4.70%,2.30%,,
Colorado,Jackson County,Rural area,4.70%,3.40%,,
Pennsylvania,Chester County,Metro area,4.70%,0.30%,,
Virginia,Prince William County,Metro area,4.60%,0.40%,,
Iowa,Lyon County,Rural area,4.60%,1.00%,,
Wyoming,Weston County,Rural area,4.60%,2.70%,,
California,San Luis Obispo County,Metro area,4.60%,0.50%,,
North Dakota,Divide County,Rural area,4.60%,2.80%,,
Kansas,Nemaha County,Rural area,4.60%,1.70%,,
Nebraska,Harlan County,Rural area,4.60%,1.90%,,
Kansas,Republic County,Rural area,4.60%,1.90%,,
Nebraska,Dawes County,Rural area,4.60%,3.30%,,
South Dakota,Clark County,Rural area,4.60%,2.20%,,
Nebraska,Arthur County,Rural area,4.60%,5.00%,,
Alaska,Denali Borough,Rural area,4.60%,2.00%,,
Wisconsin,Waukesha County,Metro area,4.50%,0.30%,,
South Dakota,Edmunds County,Small town,4.50%,2.10%,,
